date,open,close,high,low,volume
2016-12-26,4.72,4.76,4.77,4.63,476950.0
2016-12-27,4.77,4.85,4.95,4.77,1095000.5
2016-12-28,4.81,4.79,4.89,4.77,612978.75
2016-12-29,4.77,4.75,4.82,4.73,359517.69
2016-12-30,4.77,4.73,4.79,4.7,347196.53
2017-01-03,4.75,4.8,4.82,4.73,396107.09
2017-01-04,4.8,4.81,4.83,4.76,451452.31
2017-01-05,4.81,4.79,4.82,4.77,312047.0
2017-01-06,4.8,4.88,4.97,4.79,1022016.25
2017-01-09,4.86,4.95,4.99,4.86,754004.81
2017-01-10,4.95,4.91,4.95,4.9,406257.06
2017-01-11,4.89,4.9,4.97,4.85,533015.94
2017-01-12,4.89,4.86,4.94,4.85,442614.25
2017-01-13,4.85,4.85,4.86,4.75,604564.94
2017-01-16,4.82,4.92,4.95,4.71,1309734.5
2017-01-17,4.88,4.91,4.91,4.83,315882.56
2017-01-18,4.9,4.9,4.96,4.88,393704.09
2017-01-19,4.95,4.89,4.98,4.88,517134.69
2017-01-20,4.87,4.92,4.92,4.86,344356.0
2017-01-23,4.92,4.92,4.96,4.91,336432.09
2017-01-24,4.93,4.93,4.94,4.9,282425.94
2017-01-25,4.93,4.97,4.97,4.91,440078.03
2017-01-26,4.96,4.95,4.99,4.93,295130.16
2017-02-03,4.97,4.91,4.97,4.89,262791.41
2017-02-06,4.9,4.93,4.94,4.88,349856.0
2017-02-07,4.92,4.87,4.92,4.84,440778.97
2017-02-08,4.85,4.87,4.88,4.81,347548.91
2017-02-09,4.88,4.95,4.96,4.87,698388.0
2017-02-10,4.95,5.02,5.11,4.93,1183178.0
2017-02-13,5.02,5.02,5.07,5.0,941864.25
2017-02-14,5.02,5.07,5.08,4.98,697740.25
2017-02-15,5.07,5.12,5.28,5.06,2053707.5
2017-02-16,5.11,5.15,5.16,5.08,819757.62
2017-02-17,5.18,5.04,5.2,5.03,1007220.88
2017-02-20,5.04,5.07,5.08,5.02,1085267.75
2017-02-21,5.07,5.06,5.09,5.03,598245.0
2017-02-22,5.06,5.06,5.07,5.03,454890.34
2017-02-23,5.05,5.02,5.07,4.99,616560.75
2017-02-24,5.02,5.02,5.02,4.97,461638.16
2017-02-27,5.01,5.06,5.12,5.0,804058.25
2017-02-28,5.05,5.06,5.11,5.03,393031.84
2017-03-01,5.05,5.04,5.08,5.03,449386.38
2017-03-02,5.09,4.99,5.12,4.98,779816.19
2017-03-03,4.97,4.93,4.97,4.91,537043.0
2017-03-06,4.93,4.94,4.96,4.89,322846.72
2017-03-07,4.94,4.93,4.95,4.91,258622.56
2017-03-08,4.93,4.94,4.95,4.91,256577.09
2017-03-09,4.95,4.89,4.95,4.88,319780.06
2017-03-10,4.88,4.89,4.91,4.88,216452.62
2017-03-13,4.9,4.92,4.93,4.85,286494.06
2017-03-14,4.92,4.93,4.97,4.91,288113.72
2017-03-15,4.92,4.91,4.94,4.9,212688.08
2017-03-16,4.92,4.95,4.96,4.92,327300.22
2017-03-17,4.95,4.89,4.96,4.87,335779.75
2017-03-20,4.88,4.85,4.9,4.83,354718.72
2017-03-21,4.85,4.84,4.85,4.81,279782.56
2017-03-22,4.83,4.87,4.92,4.81,355896.53
2017-03-23,4.88,4.83,4.88,4.79,465118.84
2017-03-24,4.82,4.92,4.96,4.82,807069.56
2017-03-27,4.95,4.95,4.97,4.93,657678.94
2017-03-28,4.95,4.92,4.96,4.91,235523.92
2017-03-29,4.92,4.98,5.02,4.88,1118854.62
2017-03-30,4.96,4.87,4.96,4.86,615637.69
2017-03-31,4.88,4.88,4.91,4.86,289075.5
2017-04-05,4.95,4.98,4.99,4.91,916093.81
2017-04-06,4.97,5.05,5.1,4.96,1284481.75
2017-04-07,5.04,5.04,5.06,5.01,611062.12
2017-04-10,5.04,5.04,5.08,5.02,515276.25
2017-04-11,5.04,5.04,5.07,4.95,905880.94
2017-04-12,5.04,5.08,5.14,4.99,1154022.38
2017-04-13,5.07,5.07,5.11,5.05,615293.12
2017-04-14,5.08,4.99,5.09,4.97,620394.88
2017-04-17,4.99,4.99,5.03,4.96,385626.47
2017-04-18,4.99,4.98,5.03,4.98,386080.53
2017-04-19,4.96,4.91,4.98,4.88,553315.25
2017-04-20,4.91,4.92,4.94,4.88,288661.25
2017-04-21,4.92,4.87,4.93,4.86,282978.59
2017-04-24,4.87,4.69,4.87,4.66,697627.62
2017-04-25,4.7,4.71,4.74,4.67,246810.59
2017-04-26,4.72,4.71,4.74,4.69,264453.22
2017-04-27,4.72,4.7,4.72,4.57,460412.59
2017-04-28,4.69,4.72,4.72,4.67,231785.45
2017-05-02,4.71,4.7,4.72,4.68,223605.02
2017-05-03,4.7,4.65,4.7,4.62,322787.03
2017-05-04,4.64,4.63,4.69,4.6,305861.56
2017-05-05,4.62,4.53,4.64,4.52,407029.53
2017-05-08,4.51,4.53,4.55,4.5,246075.41
2017-05-09,4.52,4.57,4.57,4.51,237700.53
2017-05-10,4.57,4.49,4.59,4.48,231642.0
2017-05-11,4.49,4.51,4.53,4.42,347518.84
2017-05-12,4.53,4.57,4.57,4.51,267781.28
2017-05-15,4.59,4.58,4.64,4.57,198621.88
2017-05-16,4.58,4.63,4.63,4.55,305870.59
2017-05-17,4.62,4.61,4.66,4.59,318960.62
2017-05-18,3.76,3.75,3.79,3.73,208126.62
2017-05-19,3.75,3.72,3.77,3.7,254248.78
2017-05-22,3.71,3.6,3.72,3.56,427791.81
2017-05-23,3.6,3.54,3.6,3.5,380329.03
2017-05-24,3.52,3.6,3.61,3.5,317229.41
2017-05-25,3.6,3.63,3.64,3.57,250301.97
2017-05-26,3.64,3.62,3.65,3.62,174380.42
2017-05-31,3.65,3.62,3.67,3.61,244345.55
2017-06-01,3.62,3.56,3.63,3.55,308428.22
2017-06-02,3.55,3.57,3.58,3.53,284004.94
2017-06-05,3.58,3.55,3.58,3.55,239578.91
2017-06-06,3.56,3.58,3.58,3.54,255217.41
2017-06-07,3.58,3.64,3.65,3.56,417270.62
2017-06-08,3.64,3.65,3.66,3.61,325868.03
2017-06-09,3.64,3.65,3.69,3.62,535916.25
2017-06-12,3.63,3.6,3.64,3.58,271401.19
2017-06-13,3.59,3.62,3.63,3.59,230699.02
2017-06-14,3.63,3.62,3.64,3.6,208122.48
2017-06-15,3.61,3.64,3.65,3.61,237567.66
2017-06-16,3.64,3.65,3.65,3.63,163965.38
2017-06-19,3.64,3.66,3.66,3.63,213340.08
2017-06-20,3.66,3.81,3.91,3.65,1554520.38
2017-06-21,3.78,3.77,3.81,3.75,672622.62
2017-06-22,3.79,3.8,3.89,3.77,1145298.62
2017-06-23,3.77,3.8,3.82,3.7,835315.75
2017-06-26,3.79,3.8,3.82,3.75,508305.59
2017-06-27,3.8,3.78,3.84,3.77,380937.12
2017-06-28,3.76,3.78,3.81,3.75,277400.31
2017-06-29,3.78,3.81,3.81,3.78,269528.59
2017-06-30,3.79,3.82,3.82,3.77,414726.38
2017-07-03,3.82,3.82,3.83,3.77,328659.16
2017-07-04,3.82,3.84,3.84,3.79,366467.78
2017-07-05,3.83,3.84,3.85,3.81,273292.34
2017-07-06,3.84,3.83,3.86,3.8,324121.47
2017-07-07,3.83,3.84,3.84,3.8,317551.62
2017-07-10,3.82,3.83,3.85,3.82,318803.34
2017-07-11,3.82,3.8,3.83,3.79,354124.38
2017-07-12,3.79,3.75,3.8,3.73,395104.94
2017-07-13,3.76,3.82,3.83,3.76,449715.97
2017-07-14,3.81,3.82,3.83,3.8,307291.28
2017-07-17,3.83,3.79,3.84,3.6,576497.06
2017-07-18,3.76,3.81,3.82,3.74,308763.53
2017-07-19,3.8,3.94,3.96,3.79,1293863.75
2017-07-20,3.92,3.91,3.98,3.91,614470.38
2017-07-21,3.91,3.92,3.95,3.9,325473.62
2017-07-24,3.93,3.96,3.98,3.91,503912.22
2017-07-25,3.95,3.91,3.98,3.86,647171.38
2017-07-26,3.89,3.89,3.92,3.84,675387.5
2017-07-27,3.89,3.91,3.91,3.87,351428.16
2017-07-28,3.9,3.88,3.9,3.87,220512.33
2017-07-31,3.89,3.89,3.9,3.87,243971.8
2017-08-01,3.89,3.9,3.91,3.87,317160.81
2017-08-02,3.89,3.86,3.9,3.85,367349.91
2017-08-03,3.86,3.87,3.94,3.85,450126.0
2017-08-04,3.85,3.84,3.87,3.84,416506.25
2017-08-07,3.84,3.85,3.85,3.82,187125.67
2017-08-08,3.84,3.82,3.85,3.82,302412.56
2017-08-09,3.83,3.8,3.84,3.8,291609.38
2017-08-10,3.8,3.82,3.83,3.75,432239.19
2017-08-11,3.8,3.82,3.82,3.76,423731.66
2017-08-14,3.81,3.83,3.84,3.8,181396.84
2017-08-15,3.82,3.81,3.83,3.8,148041.59
2017-08-16,3.81,3.79,3.81,3.78,151341.84
2017-08-17,3.79,3.81,3.82,3.78,225417.94
2017-08-18,3.79,3.86,3.88,3.79,511722.09
2017-08-21,3.86,3.84,3.87,3.83,280418.19
2017-08-22,3.84,3.85,3.86,3.83,179467.12
2017-08-23,3.85,3.82,3.85,3.81,182460.0
2017-08-24,3.81,3.8,3.83,3.79,146444.95
2017-08-25,3.8,3.84,3.85,3.8,236005.16
2017-08-28,3.85,3.88,3.88,3.84,454363.16
2017-08-29,3.89,3.87,3.9,3.85,251110.44
2017-08-30,3.87,3.89,3.9,3.86,305572.47
2017-08-31,3.88,3.87,3.89,3.86,193486.95
2017-09-01,3.87,3.9,3.9,3.86,315895.62
2017-09-04,3.9,3.92,3.94,3.89,341346.41
2017-09-05,3.92,3.92,3.93,3.9,274531.69
2017-09-06,3.9,3.92,3.93,3.86,422231.19
2017-09-07,3.91,3.88,3.91,3.88,263106.03
2017-09-08,3.89,3.88,3.89,3.86,212187.38
2017-09-11,3.87,3.89,3.9,3.86,228423.09
2017-09-12,3.89,3.88,3.89,3.86,237347.23
2017-09-13,3.87,3.87,3.88,3.86,145690.83
2017-09-14,3.87,3.88,3.9,3.86,276420.0
2017-09-15,3.87,3.85,3.88,3.84,288763.75
2017-09-18,3.85,3.88,3.88,3.85,233877.97
2017-09-19,3.88,3.89,3.92,3.87,349996.38
2017-09-20,3.89,3.89,3.9,3.86,251037.08
2017-09-21,3.89,3.87,3.9,3.87,197805.56
2017-09-22,3.87,3.88,3.89,3.82,392798.09
2017-09-25,3.87,3.9,3.91,3.83,456081.12
2017-09-26,3.89,3.87,3.89,3.86,185849.69
2017-09-27,3.86,3.86,3.88,3.85,118859.68
2017-09-28,3.87,3.85,3.88,3.84,184860.16
2017-09-29,3.85,3.83,3.87,3.82,246546.53
2017-10-09,3.85,3.85,3.87,3.84,219468.27
2017-10-10,3.84,3.85,3.85,3.82,226730.67
2017-10-11,3.84,3.85,3.86,3.83,250276.11
2017-10-12,3.84,3.82,3.85,3.81,236376.81
2017-10-13,3.82,3.83,3.83,3.81,159444.72
2017-10-16,3.82,3.8,3.83,3.78,277211.75
2017-10-17,3.8,3.77,3.8,3.76,268173.56
2017-10-18,3.76,3.75,3.78,3.74,189694.36
2017-10-19,3.75,3.72,3.75,3.7,220127.94
2017-10-20,3.72,3.81,3.86,3.72,532508.88
2017-10-23,3.8,3.77,3.82,3.75,288192.5
2017-10-24,3.77,3.83,3.83,3.76,382382.38
2017-10-25,3.82,3.82,3.83,3.8,143266.73
2017-10-26,3.81,3.82,3.82,3.79,187160.59
2017-10-27,3.81,3.8,3.82,3.79,137839.56
2017-10-30,3.79,3.8,3.81,3.75,324509.53
2017-10-31,3.8,3.86,3.87,3.79,630925.5
2017-11-01,3.86,3.86,3.87,3.83,539041.56
2017-11-02,3.86,3.87,3.87,3.83,407781.16
2017-11-03,3.86,3.87,3.88,3.8,454834.88
2017-11-06,3.85,3.85,3.87,3.82,233867.75
2017-11-07,3.85,3.84,3.85,3.82,231715.34
2017-11-08,3.84,3.85,3.85,3.82,197883.25
2017-11-09,3.85,3.93,3.99,3.85,963510.88
2017-11-10,3.93,3.93,3.94,3.89,532878.94
2017-11-13,3.92,3.9,3.93,3.89,329288.0
2017-11-14,3.89,3.87,3.91,3.86,351287.56
2017-11-15,3.86,3.86,3.89,3.83,278029.62
2017-11-16,3.87,3.86,3.9,3.85,262377.84
2017-11-17,3.85,3.89,3.9,3.77,986053.31
2017-11-20,3.87,3.88,3.88,3.83,367778.12
2017-11-21,3.87,3.88,3.89,3.85,412245.88
2017-11-22,3.87,3.94,3.95,3.86,824328.25
2017-11-23,3.93,3.88,3.97,3.85,651488.5
2017-11-24,3.85,3.89,3.9,3.82,488203.56
2017-11-27,3.87,3.9,3.9,3.84,336643.09
2017-11-28,3.86,3.85,3.89,3.83,285343.0
2017-11-29,3.85,3.85,3.86,3.81,269518.06
2017-11-30,3.84,3.84,3.86,3.82,210005.12
2017-12-01,3.84,3.83,3.85,3.8,420404.53
2017-12-04,3.81,3.8,3.83,3.79,176688.69
