trade_date,open,close,high,low,vol
20140901,13.8,14.2,14.43,13.77,61470.38
20140902,14.09,14.19,14.28,13.95,44830.6
20140903,14.23,14.36,14.36,13.96,55635.12
20140904,14.35,14.18,14.48,14.13,48449.69
20140905,14.23,14.52,14.59,13.85,60215.82
20140909,14.57,15.57,15.75,14.51,98331.89
20140910,15.42,15.53,15.98,15.2,54271.35
20140911,15.6,15.97,16.5,15.3,104461.55
20140912,15.87,17.13,17.36,15.46,133268.97
20140915,16.66,16.53,17.36,16.08,117684.47
20140916,16.35,15.31,16.35,15.3,76714.23
20140917,15.31,15.49,15.55,14.9,50571.68
20140918,15.3,15.56,15.66,15.21,28990.46
20140919,15.58,15.46,15.58,15.17,33831.18
20140922,15.5,15.65,15.8,15.42,42410.4
20140923,15.55,15.59,15.78,15.3,34914.24
20140924,15.6,16.1,16.28,15.52,51121.72
20140925,16.09,15.96,16.24,15.91,35339.2
20140926,15.9,15.85,16.16,15.85,27946.29
20140929,15.85,15.97,16.16,15.85,28240.78
20140930,16.1,16.14,16.34,16.0,36960.39
20141008,16.18,16.07,16.27,15.88,36106.36
20141009,16.08,15.98,16.18,15.69,41375.27
20141010,15.91,15.6,15.95,15.55,39903.97
20141013,15.47,15.55,15.6,15.2,27495.13
20141014,15.5,15.6,15.8,15.42,25503.68
20141015,15.53,16.44,16.54,15.53,62576.48
20141016,16.24,16.0,16.65,16.0,47812.19
20141017,15.9,15.52,16.06,15.31,32649.85
20141020,15.55,15.68,15.81,15.55,19587.83
20141021,15.66,15.3,15.75,15.26,25112.42
20141022,15.22,14.92,15.48,14.88,23457.4
20141023,14.91,14.54,15.08,14.28,25784.5
20141024,14.55,14.69,14.85,14.54,15642.4
20141027,14.7,15.19,15.2,14.68,20116.47
20141028,15.25,15.65,15.67,15.25,20736.13
20141029,15.75,15.84,15.98,15.65,30335.33
20141030,15.85,15.85,16.2,15.74,31827.08
20141031,15.9,16.13,16.33,15.75,38833.84
20141103,16.14,16.12,16.49,15.91,30055.81
20141104,16.12,15.8,16.36,15.8,31440.0
20141105,15.79,15.67,15.86,15.61,16906.1
20141106,15.63,15.91,15.92,15.55,22262.15
20141107,15.91,15.75,16.08,15.71,28180.76
20141110,15.77,15.83,15.89,15.58,17023.66
20141111,15.77,15.03,15.8,14.84,38450.03
20141112,15.03,15.31,15.36,14.85,18552.46
20141113,15.28,14.7,15.28,14.59,24353.56
20141114,14.68,14.65,14.85,14.56,13207.53
20141117,14.62,15.06,15.1,14.44,13854.04
20141118,15.04,15.73,15.74,14.95,35860.66
20141119,15.7,15.73,15.8,15.45,20958.29
