date,open,close,high,low,volume
2018-06-20,6.5,7.8,7.8,6.5,3054.33
2018-06-21,8.58,8.58,8.58,8.58,2747.19
2018-06-22,9.44,9.44,9.44,9.44,9370.87
2018-06-25,10.38,10.38,10.38,10.38,19032.04
2018-06-26,11.42,11.42,11.42,11.42,100722.67
2018-06-27,11.9,11.81,11.98,11.03,2362393.5
2018-06-28,11.39,11.07,11.9,10.8,1582451.75
2018-06-29,10.6,10.76,10.95,10.23,1259129.75
2018-07-02,10.86,10.29,10.97,10.16,980344.0
2018-07-03,10.18,10.38,10.63,10.17,823310.25
2018-07-04,10.25,9.33,10.25,9.33,1157737.5
2018-07-05,9.45,9.48,9.95,9.34,1043751.5
2018-07-06,9.31,9.37,9.76,8.92,1048546.56
2018-07-09,9.42,9.41,9.58,9.22,739265.75
2018-07-10,9.37,9.71,9.72,9.28,867126.06
2018-07-11,9.4,9.34,9.67,9.16,732752.06
2018-07-12,9.22,10.27,10.27,9.22,1033324.5
2018-07-13,10.1,9.86,10.24,9.76,1131545.38
2018-07-16,9.78,9.63,9.87,9.45,634883.44
2018-07-17,9.55,9.79,9.8,9.48,581322.06
2018-07-18,9.79,9.35,9.88,9.32,658941.19
2018-07-19,9.26,9.41,9.51,9.21,436530.03
2018-07-20,9.35,9.82,10.23,9.2,1069249.88
2018-07-23,9.59,9.66,9.81,9.43,675447.5
2018-07-24,9.61,10.29,10.63,9.61,1589318.25
2018-07-25,10.08,10.53,10.58,10.05,1190541.12
2018-07-26,10.43,10.22,10.67,10.19,839914.25
2018-07-27,10.1,10.02,10.35,9.93,605638.38
2018-07-30,9.91,10.2,10.32,9.9,551336.62
2018-07-31,10.14,9.9,10.21,9.74,550080.38
2018-08-01,9.9,9.75,10.17,9.73,574176.88
2018-08-02,9.6,9.11,9.68,8.88,738700.31
2018-08-03,9.01,8.77,9.14,8.77,377985.16
2018-08-06,8.81,8.86,9.01,8.69,342105.97
2018-08-07,8.88,9.05,9.08,8.64,502491.0
2018-08-08,8.94,8.45,8.97,8.41,553403.25
2018-08-09,8.45,8.58,8.84,8.4,529638.19
2018-08-10,8.52,8.62,8.77,8.5,357673.5
2018-08-13,8.41,8.52,8.54,8.21,430427.78
2018-08-14,8.48,8.53,8.63,8.4,313811.25
2018-08-15,8.53,8.25,8.53,8.22,293063.81
2018-08-16,8.1,8.33,8.62,8.03,443771.38
2018-08-17,8.38,8.12,8.47,8.11,317830.38
2018-08-20,8.1,8.32,8.39,8.08,324451.28
2018-08-21,8.28,8.33,8.38,8.23,288793.84
2018-08-22,8.31,8.17,8.31,8.15,215186.34
2018-08-23,8.17,8.33,8.55,8.16,428223.78
2018-08-24,8.3,8.33,8.43,8.2,317231.38
2018-08-27,8.31,8.5,8.58,8.31,400963.31
2018-08-28,8.48,8.5,8.55,8.41,287602.03
2018-08-29,8.49,8.47,8.63,8.45,281082.31
2018-08-30,8.5,8.2,8.53,8.18,307887.38
2018-08-31,8.21,8.16,8.3,8.12,186441.84
2018-09-03,8.15,8.17,8.19,8.08,163577.2
2018-09-04,8.17,8.29,8.41,8.13,285642.47
2018-09-05,8.23,8.14,8.36,8.14,237898.91
2018-09-06,8.15,8.24,8.32,8.12,260916.72
2018-09-07,8.26,8.29,8.57,8.24,346306.12
2018-09-10,8.23,7.89,8.28,7.87,367694.38
2018-09-11,7.9,7.92,7.99,7.87,169187.73
2018-09-12,7.88,7.97,8.1,7.87,222873.31
2018-09-13,8.06,8.03,8.09,7.94,191075.34
2018-09-14,8.02,7.84,8.05,7.81,185156.17
2018-09-17,7.78,7.74,7.81,7.63,175628.78
2018-09-18,7.71,7.93,7.93,7.7,232395.55
2018-09-19,7.89,7.97,8.05,7.83,288246.91
2018-09-20,8.0,7.91,8.05,7.91,192408.72
2018-09-21,7.93,8.19,8.23,7.85,416470.81
2018-09-25,8.11,8.06,8.12,8.01,188339.22
2018-09-26,8.08,8.06,8.21,8.03,268877.91
2018-09-27,8.03,7.87,8.05,7.86,206173.58
2018-09-28,7.88,7.91,7.94,7.83,177584.2
2018-10-08,7.7,7.36,7.74,7.33,233306.31
2018-10-09,7.39,7.34,7.43,7.26,133631.11
2018-10-10,7.3,7.23,7.37,7.17,154275.84
2018-10-11,6.88,6.51,6.93,6.51,304195.22
2018-10-12,6.41,6.41,6.49,6.15,229373.3
2018-10-15,6.43,6.43,6.64,6.4,228150.98
2018-10-16,6.49,6.4,6.61,6.39,225734.5
2018-10-17,6.53,6.5,6.58,6.31,194310.53
2018-10-18,6.45,6.5,6.61,6.39,199803.0
2018-10-19,6.4,6.83,6.84,6.37,315630.0
2018-10-22,6.94,7.51,7.51,6.94,385554.91
2018-10-23,8.26,8.06,8.26,7.92,1234726.5
2018-10-24,7.87,8.22,8.71,7.75,1369221.88
2018-10-25,7.81,8.79,8.88,7.8,987948.06
2018-10-26,8.59,8.28,8.74,8.18,817014.62
2018-10-29,8.23,8.13,8.39,7.98,426285.41
2018-10-30,8.13,8.94,8.94,7.91,1051108.62
2018-10-31,8.8,8.69,9.08,8.57,989193.56
2018-11-01,8.73,8.75,9.36,8.66,890203.88
2018-11-02,8.99,9.15,9.23,8.71,685562.88
2018-11-05,9.13,9.37,9.68,9.0,817953.81
2018-11-06,9.24,9.35,9.66,9.03,539274.5
2018-11-07,9.17,9.06,9.36,8.97,409618.47
2018-11-08,9.12,8.73,9.19,8.65,468297.94
2018-11-09,8.73,8.8,9.05,8.68,363750.91
2018-11-12,8.73,8.97,8.98,8.64,320848.69
2018-11-13,8.81,9.35,9.67,8.77,646348.06
2018-11-14,9.21,9.12,9.41,9.1,380217.03
2018-11-15,9.11,9.85,9.86,9.04,650748.25
2018-11-16,9.67,10.04,10.37,9.63,672887.0
2018-11-19,9.92,10.8,11.04,9.86,801318.12
2018-11-20,10.55,10.23,10.96,10.06,667771.56
2018-11-21,9.95,10.18,10.33,9.65,555441.31
2018-11-22,10.19,9.89,10.23,9.73,361716.88
2018-11-23,9.8,9.23,9.97,9.15,460445.91
2018-11-26,9.18,9.17,9.38,9.07,257264.34
2018-11-27,9.27,9.38,9.57,9.2,369640.12
2018-11-28,9.3,10.11,10.32,9.3,680300.81
2018-11-29,10.09,9.79,10.44,9.68,768166.31
2018-11-30,9.65,10.44,10.68,9.53,680896.12
2018-12-03,11.16,10.51,11.3,10.5,894510.44
2018-12-04,10.29,10.85,10.99,10.1,655097.88
2018-12-05,10.48,10.63,10.82,10.47,445228.56
2018-12-06,10.4,10.65,10.89,10.15,643924.69
2018-12-07,10.72,10.41,10.78,10.34,394651.94
2018-12-10,10.29,10.32,10.52,10.01,413171.5
2018-12-11,10.28,10.29,10.42,10.18,245107.56
2018-12-12,10.37,10.43,10.74,10.32,395817.5
2018-12-13,10.5,10.52,10.75,10.18,438230.59
2018-12-14,10.41,10.3,10.68,10.24,441444.81
2018-12-17,10.18,10.52,10.68,10.18,355469.62
2018-12-18,10.43,10.32,10.58,10.18,316305.19
2018-12-19,10.32,10.27,10.47,10.18,246029.78
2018-12-20,10.25,10.5,10.65,10.19,393325.88
2018-12-21,10.4,10.35,10.55,10.26,283794.5
2018-12-24,10.26,9.32,10.33,9.32,709038.44
2018-12-25,9.01,8.95,9.09,8.44,669864.62
2018-12-26,8.83,8.67,8.87,8.63,327416.38
2018-12-27,8.87,8.52,8.94,8.52,410703.59
2018-12-28,8.59,8.71,8.88,8.54,325434.81
2019-01-02,8.72,8.78,8.85,8.63,284443.44
2019-01-03,8.79,9.21,9.59,8.72,587470.19
2019-01-04,9.12,10.13,10.13,9.04,920898.31
2019-01-07,10.2,10.21,10.6,10.03,787458.25
2019-01-08,10.22,10.65,11.11,10.15,678890.0
2019-01-09,10.57,11.15,11.72,10.46,867287.19
2019-01-10,11.11,10.8,11.3,10.68,618110.06
2019-01-11,10.82,10.74,11.05,10.67,472289.03
2019-01-14,10.88,10.91,11.25,10.82,535659.81
2019-01-15,10.85,12.0,12.0,10.8,953116.5
2019-01-16,12.1,11.94,12.25,11.76,778168.75
2019-01-17,11.9,11.97,12.13,11.66,589697.0
2019-01-18,11.95,11.78,12.11,11.63,562354.06
2019-01-21,11.66,11.42,11.82,11.38,482122.66
2019-01-22,11.05,10.55,11.05,10.4,737759.62
2019-01-23,10.59,10.56,10.74,10.36,415804.0
2019-01-24,10.6,11.1,11.38,10.6,698538.0
2019-01-25,11.1,11.2,11.5,11.01,478429.78
2019-01-28,11.55,11.44,11.97,11.19,522814.75
2019-01-29,11.22,11.64,11.77,10.9,483962.44
2019-01-30,11.49,11.3,11.75,11.3,326061.94
2019-01-31,11.41,11.68,11.87,11.33,485944.19
2019-02-01,12.18,12.15,12.32,11.9,517587.56
2019-02-11,12.0,12.31,12.32,11.82,482264.25
2019-02-12,12.19,12.23,12.46,12.02,481995.81
2019-02-13,12.23,13.0,13.43,11.94,727739.31
2019-02-14,12.78,12.81,13.07,12.7,435390.22
