trade_date,open,close,high,low,vol
20140901,24.12,25.04,25.1,23.85,53028.38
20140902,25.15,25.06,25.46,24.7,44997.66
20140903,25.1,24.82,25.14,24.41,58862.68
20140904,24.83,24.63,24.87,24.28,47702.02
20140905,24.5,25.98,26.6,24.5,91920.8
20140909,25.98,25.87,26.48,25.4,61430.78
20140910,25.7,25.65,25.91,25.12,34873.26
20140911,25.5,25.81,25.95,25.09,52303.89
20140912,25.77,25.52,25.77,24.95,36083.58
20140915,25.4,24.86,25.4,24.68,61275.76
20140916,24.7,23.35,25.17,23.3,55629.83
20140917,23.36,23.8,23.97,23.36,29886.31
20140918,23.8,24.04,24.7,23.5,30399.16
20140919,23.9,23.85,24.19,23.05,43630.22
20140922,23.85,23.8,24.7,23.0,56560.0
20140923,23.88,24.45,24.5,23.4,53358.6
20140924,24.05,25.15,25.24,24.0,79085.43
20140925,25.19,24.81,25.45,24.7,41368.31
20140926,24.7,24.38,24.97,24.23,34334.05
20140929,24.38,24.23,24.6,24.12,27126.88
20140930,24.23,24.51,24.73,24.07,21225.14
20141008,24.3,24.51,24.55,23.8,25845.08
20141009,24.49,24.0,24.51,23.7,24716.25
20141010,24.0,23.62,24.0,23.6,17789.93
20141013,23.5,23.25,23.5,22.69,28774.71
20141014,23.14,23.47,23.99,23.14,24908.4
20141015,23.46,23.76,23.96,23.25,16928.45
20141016,23.6,23.13,23.64,23.1,16811.01
20141017,23.14,22.51,23.29,21.96,34145.32
20141020,22.75,22.65,22.75,22.3,14096.42
20141021,22.7,22.76,23.16,22.55,16685.26
20141022,22.7,22.51,22.91,22.5,10788.68
20141023,22.45,21.49,22.45,21.39,22605.35
20141024,21.32,21.36,21.95,21.11,9605.38
20141027,21.25,21.54,21.8,20.61,15457.56
20141028,21.55,23.4,23.69,21.55,60746.14
20141029,23.53,23.88,24.1,22.88,70554.62
20141030,23.88,24.13,24.46,23.6,45916.72
20141031,24.1,23.8,24.25,23.3,25840.5
20141103,23.81,24.8,25.08,23.61,59890.68
20141104,24.79,24.42,25.2,24.42,42084.54
20141105,24.27,23.99,24.63,23.67,26273.67
20141106,23.79,23.95,24.14,23.76,15938.92
20141107,23.95,25.23,26.3,23.85,105034.25
20141110,25.65,27.75,27.75,25.3,126124.47
20141111,28.38,30.53,30.53,28.25,147740.12
20141112,30.88,31.44,31.6,29.38,98232.1
20141113,30.71,33.7,34.45,30.71,84916.08
20141114,32.89,32.2,33.59,31.8,56853.23
20141117,32.27,31.12,32.44,30.5,51959.3
20141118,31.17,34.23,34.23,30.7,90421.57
20141119,33.7,35.31,37.65,33.35,152260.22
20141120,34.7,36.28,36.92,33.86,99207.65
20141121,35.75,35.5,36.05,34.7,60071.51
20141124,35.9,37.4,39.0,35.5,91981.01
20141125,37.55,40.36,40.62,36.4,90672.69
20141126,39.36,44.4,44.4,39.05,94053.12
20141127,45.18,48.84,48.84,43.51,124022.77
20141128,49.01,53.72,53.72,46.6,102708.95
20141201,57.7,59.09,59.09,54.5,108027.77
20141202,60.0,60.0,63.22,56.48,178013.65
20141203,58.14,59.27,62.49,57.0,118417.42
20141204,60.0,65.2,65.2,59.01,117851.78
20141205,68.0,65.48,70.94,62.6,155636.79
20141208,62.0,59.96,65.99,59.0,130454.22
20141209,57.1,53.96,62.49,53.96,158284.04
20141210,52.3,53.65,55.3,50.15,120773.81
20141211,52.0,51.5,54.51,50.6,104697.0
20141212,50.92,56.65,56.65,50.92,185028.33
20141215,55.0,62.32,62.32,54.6,170948.57
20141216,65.0,62.9,65.98,60.4,163817.21
20141217,60.19,60.04,62.52,59.0,111642.75
20141218,59.7,55.8,61.9,55.7,106691.38
20141219,55.82,57.7,59.88,50.29,128652.37
20141222,56.1,51.93,56.5,51.93,97202.15
20141223,49.9,50.08,54.0,49.0,87749.09
20141224,51.49,50.98,51.79,49.31,63363.79
20141225,51.31,52.62,54.08,49.3,86610.38
20141226,52.0,54.6,55.35,51.01,108207.86
20141229,53.8,50.33,53.85,50.06,93519.75
20141230,49.85,45.93,49.9,45.45,110676.08
20141231,45.01,45.36,47.27,44.58,77184.68
20150105,45.0,45.6,46.58,42.22,101013.27
20150106,44.9,50.16,50.16,44.5,124351.03
20150107,50.25,52.3,55.0,48.0,187187.39
20150108,50.99,51.97,55.0,50.45,126356.39
20150109,50.58,52.06,54.8,50.58,116961.59
20150112,52.1,57.27,57.27,52.1,145324.74
20150113,58.0,59.65,61.7,55.7,138736.04
20150114,58.5,56.52,59.9,56.01,92428.61
20150115,56.07,57.54,59.32,55.11,104764.74
20150116,56.07,63.29,63.29,56.05,183300.41
20150119,59.0,59.59,63.99,56.96,168719.79
20150120,59.62,62.72,64.17,58.41,137515.14
20150121,62.91,62.66,63.5,60.05,124460.48
20150122,61.66,60.97,63.98,60.02,103918.15
20150123,61.75,57.65,62.18,57.0,114360.45
20150126,57.83,60.7,61.5,57.83,103638.96
20150127,60.4,60.08,61.55,58.52,64532.33
20150128,60.01,57.85,60.01,57.85,61126.89
20150129,56.98,57.03,58.9,56.38,61768.18
20150130,57.08,54.83,57.95,54.68,52332.05
20150202,53.38,56.3,59.0,52.5,62463.08
20150203,56.26,61.93,61.93,56.16,136577.42
20150204,61.93,63.93,66.0,61.0,164776.71
20150205,62.99,65.36,69.22,61.85,148690.7
20150206,64.0,60.38,66.5,59.35,96677.05
20150209,59.47,58.97,62.45,58.0,76538.66
