trade_date,open,close,high,low,vol
20140901,2.67,2.66,2.68,2.65,439487.21
20140902,2.67,2.69,2.69,2.65,482807.75
20140903,2.68,2.71,2.71,2.68,540834.16
20140904,2.71,2.72,2.72,2.7,539364.95
20140905,2.72,2.74,2.75,2.71,596399.04
20140909,2.74,2.73,2.75,2.72,396914.75
20140910,2.73,2.71,2.73,2.7,506795.85
20140911,2.7,2.7,2.73,2.69,410295.89
20140912,2.7,2.72,2.72,2.69,287132.79
20140915,2.71,2.71,2.72,2.7,450264.3
20140916,2.72,2.72,2.75,2.7,1008785.4
20140917,2.71,2.7,2.71,2.69,563366.39
20140918,2.7,2.72,2.73,2.69,967578.89
20140919,2.72,2.72,2.72,2.7,457278.65
20140922,2.71,2.67,2.72,2.67,526493.5
20140923,2.67,2.68,2.69,2.66,358789.84
20140924,2.67,2.7,2.71,2.67,637905.98
20140925,2.71,2.7,2.72,2.69,569870.44
20140926,2.69,2.69,2.7,2.68,298726.46
20140929,2.69,2.68,2.7,2.67,792489.68
20140930,2.69,2.7,2.7,2.68,595407.44
20141008,2.69,2.69,2.7,2.68,637864.93
20141009,2.69,2.7,2.7,2.68,460420.12
20141010,2.69,2.69,2.7,2.67,515650.79
20141013,2.68,2.67,2.68,2.66,540962.96
20141014,2.66,2.66,2.68,2.66,416784.78
20141015,2.66,2.67,2.68,2.65,410309.24
20141016,2.66,2.67,2.7,2.66,763671.71
20141017,2.67,2.67,2.68,2.66,483142.49
20141020,2.68,2.68,2.68,2.66,423559.72
20141021,2.67,2.67,2.68,2.66,296360.78
20141022,2.66,2.68,2.68,2.66,449886.56
20141023,2.67,2.67,2.68,2.66,630969.15
20141024,2.67,2.66,2.68,2.66,507652.03
20141027,2.66,2.61,2.67,2.58,713710.18
20141028,2.61,2.64,2.64,2.6,431267.81
20141029,2.64,2.69,2.7,2.64,890714.29
20141030,2.69,2.71,2.73,2.67,1134357.57
20141031,2.71,2.8,2.85,2.71,3331193.2
20141103,2.81,2.78,2.82,2.77,1088011.84
20141104,2.78,2.79,2.8,2.76,1090696.02
20141105,2.79,2.76,2.8,2.75,667436.61
20141106,2.76,2.75,2.77,2.74,508622.11
20141107,2.75,2.77,2.8,2.74,1080794.92
20141110,2.78,2.86,2.91,2.78,2263335.83
20141111,2.92,3.15,3.15,2.92,9860341.5
20141112,3.06,3.08,3.08,2.98,8159840.77
20141113,3.08,3.1,3.15,3.06,6492227.12
20141114,3.09,3.09,3.1,2.99,4027961.35
20141117,3.09,3.02,3.14,3.01,3178568.24
20141118,3.01,2.93,3.02,2.91,3102613.84
20141119,2.91,2.92,2.94,2.89,2073322.47
20141120,2.9,2.92,2.94,2.89,1505905.39
20141121,2.92,2.95,2.96,2.87,2380132.34
20141124,2.9,2.94,2.97,2.88,3701035.84
20141125,2.93,2.97,2.97,2.9,2786622.74
20141126,2.96,3.05,3.08,2.95,3814832.98
20141127,3.07,3.08,3.13,3.05,4124973.54
20141128,3.08,3.33,3.33,3.07,9825207.36
20141201,3.33,3.38,3.6,3.21,10099073.63
20141202,3.28,3.56,3.64,3.25,17256650.25
20141203,3.5,3.41,3.58,3.36,18009458.74
20141204,3.4,3.53,3.54,3.32,18862470.02
20141205,3.53,3.69,3.81,3.42,26429000.96
20141208,3.59,3.66,3.74,3.52,25122280.19
20141209,3.55,3.33,3.69,3.29,21885145.72
20141210,3.31,3.39,3.43,3.18,12920134.69
20141211,3.32,3.34,3.43,3.26,7465162.68
20141212,3.34,3.34,3.4,3.3,6592837.8
20141215,3.3,3.29,3.31,3.23,7096019.4
20141216,3.28,3.4,3.4,3.26,9440924.34
20141217,3.42,3.54,3.63,3.37,19228764.07
20141218,3.55,3.46,3.57,3.42,10197313.48
20141219,3.45,3.54,3.56,3.42,11112107.72
20141222,3.66,3.89,3.89,3.6,35748323.13
20141223,3.74,3.72,3.88,3.7,28131282.42
20141224,3.72,3.57,3.75,3.51,14962181.07
20141225,3.66,3.72,3.73,3.56,15866905.79
20141226,3.71,3.82,3.85,3.65,19226610.73
20141229,4.0,3.85,4.04,3.76,20047135.92
20141230,3.81,3.94,4.0,3.8,16039300.69
20141231,3.94,4.15,4.28,3.88,22782821.7
20150105,4.18,4.42,4.5,4.18,23084548.47
20150106,4.38,4.56,4.74,4.28,23127260.22
20150107,4.46,4.54,4.64,4.44,15485754.55
20150108,4.55,4.33,4.57,4.31,14892726.05
20150109,4.28,4.47,4.76,4.23,22776193.75
20150112,4.38,4.4,4.49,4.3,12760756.17
20150113,4.39,4.44,4.44,4.31,9123192.36
20150114,4.46,4.59,4.65,4.46,16732746.61
20150115,4.59,4.87,4.89,4.51,16806697.82
20150116,4.89,4.98,5.08,4.83,18870036.09
20150119,4.53,4.48,4.78,4.48,21588878.72
20150120,4.48,4.45,4.57,4.31,17514000.06
20150121,4.49,4.89,4.9,4.41,26819060.18
20150122,4.88,4.84,4.89,4.75,16228018.48
20150123,4.88,4.84,4.99,4.8,17223379.63
